Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Financial Services,48,148633.2947,3,2019,ladakh
Others,696,1233697.127,3,2019,ladakh
Peer-to-peer payments,42095,298044908.5,4,2019,ladakh
Recharge & bill payments,35467,16510212.1,4,2019,ladakh
Merchant payments,6522,8717893.9,4,2019,ladakh
Financial Services,46,162760.6325,4,2019,ladakh
Others,576,1253584.887,4,2019,ladakh
Peer-to-peer payments,51560,339551900.4,1,2020,ladakh
Recharge & bill payments,49801,23010664.72,1,2020,ladakh
Merchant payments,14264,13338124.27,1,2020,ladakh
Financial Services,204,583108.9455,1,2020,ladakh
Others,590,1155879.121,1,2020,ladakh
Recharge & bill payments,70601,32087339.27,2,2020,ladakh
Peer-to-peer payments,68450,470749365.1,2,2020,ladakh
Merchant payments,15132,19679330.19,2,2020,ladakh
Financial Services,337,786069.1631,2,2020,ladakh
Others,490,490894.9382,2,2020,ladakh
Peer-to-peer payments,108345,751333715.3,3,2020,ladakh
Recharge & bill payments,81623,40380074.55,3,2020,ladakh
Merchant payments,36861,40538778.76,3,2020,ladakh
Financial Services,621,2334917.783,3,2020,ladakh
Others,772,900013.6787,3,2020,ladakh
Peer-to-peer payments,151582,985814864.3,4,2020,ladakh
Recharge & bill payments,94133,44185250.86,4,2020,ladakh
Merchant payments,83868,77511378.31,4,2020,ladakh
Financial Services,729,1965054.59,4,2020,ladakh
Others,1822,2486922.404,4,2020,ladakh
Peer-to-peer payments,141894,869999786.2,1,2021,ladakh
Recharge & bill payments,72719,35459532.41,1,2021,ladakh
Merchant payments,58875,74977913.47,1,2021,ladakh
Financial Services,629,1455016.148,1,2021,ladakh
Others,1298,1527565.063,1,2021,ladakh
Peer-to-peer payments,209818,1259044412,2,2021,ladakh
Recharge & bill payments,95458,44754721.83,2,2021,ladakh
Merchant payments,92078,119608470,2,2021,ladakh
Financial Services,755,1756762.147,2,2021,ladakh
Others,1607,2094729.018,2,2021,ladakh
Peer-to-peer payments,330919,1917311078,3,2021,ladakh
Merchant payments,135108,233260756.5,3,2021,ladakh
Recharge & bill payments,121856,58750081.82,3,2021,ladakh
Financial Services,900,1911625.545,3,2021,ladakh
Others,2204,2751201.937,3,2021,ladakh
Peer-to-peer payments,337120,1804428550,4,2021,ladakh
Merchant payments,169110,284786365.9,4,2021,ladakh
Recharge & bill payments,120607,58403893.47,4,2021,ladakh
Financial Services,912,3068708.947,4,2021,ladakh
Others,2438,2847620.243,4,2021,ladakh
Peer-to-peer payments,343041,1685241981,1,2022,ladakh
Merchant payments,167100,279354509,1,2022,ladakh
Recharge & bill payments,116486,56203999.29,1,2022,ladakh
Financial Services,1247,2023327.678,1,2022,ladakh
Others,2141,2217102.222,1,2022,ladakh
Peer-to-peer payments,608870,2941624382,2,2022,ladakh
Merchant payments,346146,508439376.7,2,2022,ladakh
Recharge & bill payments,158996,88531677.99,2,2022,ladakh
Financial Services,1585,2487560.185,2,2022,ladakh
Others,2476,2235180.858,2,2022,ladakh
Peer-to-peer payments,659896,2955729492,3,2022,ladakh
Merchant payments,367022,551472983.9,3,2022,ladakh
Recharge & bill payments,160269,94288872.35,3,2022,ladakh
Financial Services,1555,1815866.896,3,2022,ladakh
Others,2116,1892134.752,3,2022,ladakh
Peer-to-peer payments,559259,2350047972,4,2022,ladakh
Merchant payments,382456,462189599.3,4,2022,ladakh
Recharge & bill payments,138793,79767790.99,4,2022,ladakh
Financial Services,1248,1198715.212,4,2022,ladakh
Others,1616,1273495.593,4,2022,ladakh
Peer-to-peer payments,423,1860278.278,1,2018,lakshadweep
Recharge & bill payments,342,61432.04939,1,2018,lakshadweep
Merchant payments,5,590.7505138,1,2018,lakshadweep
Others,8,6310.102519,1,2018,lakshadweep
Peer-to-peer payments,1315,5757123.08,2,2018,lakshadweep
Recharge & bill payments,750,353202.7989,2,2018,lakshadweep
Merchant payments,42,64568.47789,2,2018,lakshadweep
Financial Services,6,9134.413223,2,2018,lakshadweep
Others,19,3780.769514,2,2018,lakshadweep
Peer-to-peer payments,841,3926048.745,3,2018,lakshadweep
Recharge & bill payments,760,300978.3242,3,2018,lakshadweep
Merchant payments,87,94046.43333,3,2018,lakshadweep
Others,15,17958.80957,3,2018,lakshadweep
Recharge & bill payments,792,351201.0879,4,2018,lakshadweep
Peer-to-peer payments,689,3841230.431,4,2018,lakshadweep
Merchant payments,144,262079.8557,4,2018,lakshadweep
Financial Services,6,389.8932324,4,2018,lakshadweep
Others,11,8312.430483,4,2018,lakshadweep
Peer-to-peer payments,1183,8221402.369,1,2019,lakshadweep
Recharge & bill payments,1173,353870.524,1,2019,lakshadweep
Merchant payments,113,183062.1456,1,2019,lakshadweep
Others,12,27795.44122,1,2019,lakshadweep
Recharge & bill payments,1448,436735.1685,2,2019,lakshadweep
Peer-to-peer payments,1318,8602732.118,2,2019,lakshadweep
Merchant payments,137,190716.5412,2,2019,lakshadweep
Others,23,12340.30958,2,2019,lakshadweep
Recharge & bill payments,1528,503049.2412,3,2019,lakshadweep
Peer-to-peer payments,1455,8923273.863,3,2019,lakshadweep
Merchant payments,111,215159.6812,3,2019,lakshadweep
Others,10,10278.67843,3,2019,lakshadweep
Recharge & bill payments,1801,618155.9005,4,2019,lakshadweep
Peer-to-peer payments,1753,10383413.25,4,2019,lakshadweep
Merchant payments,188,211413.6224,4,2019,lakshadweep
Financial Services,2,34.39721182,4,2019,lakshadweep
Others,21,56896.23813,4,2019,lakshadweep
Recharge & bill payments,2684,789255.2646,1,2020,lakshadweep
Peer-to-peer payments,2068,12463327.26,1,2020,lakshadweep
Merchant payments,387,216594.0308,1,2020,lakshadweep
Others,12,33192.01728,1,2020,lakshadweep
Recharge & bill payments,4497,1061694.139,2,2020,lakshadweep
Peer-to-peer payments,2176,14718605.19,2,2020,lakshadweep
Merchant payments,472,971609.4584,2,2020,lakshadweep
Financial Services,60,158593.597,2,2020,lakshadweep
Others,15,32419.70309,2,2020,lakshadweep
Recharge & bill payments,4696,1186947.554,3,2020,lakshadweep
Peer-to-peer payments,2946,19189391.62,3,2020,lakshadweep
Merchant payments,903,842981.1695,3,2020,lakshadweep
Financial Services,27,45457.5097,3,2020,lakshadweep
Others,17,42055.45695,3,2020,lakshadweep
Recharge & bill payments,5187,1499298.113,4,2020,lakshadweep
Peer-to-peer payments,4741,27284123.25,4,2020,lakshadweep
Merchant payments,1668,1227101.638,4,2020,lakshadweep
Financial Services,22,13968.754,4,2020,lakshadweep
Others,32,86826.16676,4,2020,lakshadweep
Peer-to-peer payments,3942,24823715.02,1,2021,lakshadweep
Recharge & bill payments,3541,1070209.422,1,2021,lakshadweep
Merchant payments,1537,1040213.795,1,2021,lakshadweep
Financial Services,19,15929.09511,1,2021,lakshadweep
Others,46,92715.58431,1,2021,lakshadweep
Recharge & bill payments,5499,1745295.828,2,2021,lakshadweep
Peer-to-peer payments,4069,23996417.49,2,2021,lakshadweep
Merchant payments,1743,1525331.915,2,2021,lakshadweep
Financial Services,29,15052.0185,2,2021,lakshadweep
Others,44,101366.4031,2,2021,lakshadweep
Peer-to-peer payments,5687,34142107.52,3,2021,lakshadweep
Recharge & bill payments,5153,1700287.473,3,2021,lakshadweep
Merchant payments,2450,2750367.063,3,2021,lakshadweep
Financial Services,48,137227.3539,3,2021,lakshadweep
Others,32,73174.28817,3,2021,lakshadweep
Peer-to-peer payments,7154,44696668.86,4,2021,lakshadweep
Recharge & bill payments,5355,2093901.292,4,2021,lakshadweep
Merchant payments,2872,4071239.087,4,2021,lakshadweep
Financial Services,27,19994.54195,4,2021,lakshadweep
Others,62,116381.746,4,2021,lakshadweep
Peer-to-peer payments,7913,48590864.57,1,2022,lakshadweep
Recharge & bill payments,5334,2322580.17,1,2022,lakshadweep
Merchant payments,3048,3838358.359,1,2022,lakshadweep
Financial Services,39,38274.22629,1,2022,lakshadweep
Others,63,149355.3311,1,2022,lakshadweep
Peer-to-peer payments,8491,48451728.05,2,2022,lakshadweep
Recharge & bill payments,5366,2386144.715,2,2022,lakshadweep
Merchant payments,3602,4895657.06,2,2022,lakshadweep
Financial Services,59,87127.82495,2,2022,lakshadweep
Others,51,108944.3427,2,2022,lakshadweep
Peer-to-peer payments,7533,40029003.83,3,2022,lakshadweep
Recharge & bill payments,4441,1936538.307,3,2022,lakshadweep
Merchant payments,3142,5469200.646,3,2022,lakshadweep
Financial Services,64,63629.88417,3,2022,lakshadweep
Others,61,81636.95473,3,2022,lakshadweep
Peer-to-peer payments,8686,47450386,4,2022,lakshadweep
Recharge & bill payments,4557,2024739.154,4,2022,lakshadweep
Merchant payments,3819,5250991.002,4,2022,lakshadweep
Financial Services,35,26453.02478,4,2022,lakshadweep
Others,50,61304.43025,4,2022,lakshadweep
Recharge & bill payments,4404190,667057311.5,1,2018,madhya-pradesh
Peer-to-peer payments,2848290,7590790589,1,2018,madhya-pradesh
Financial Services,230519,43374288.98,1,2018,madhya-pradesh
Merchant payments,196394,170119673.7,1,2018,madhya-pradesh
Others,346002,210261540.7,1,2018,madhya-pradesh
Recharge & bill payments,5324535,1132090446,2,2018,madhya-pradesh
Peer-to-peer payments,4269392,14155603482,2,2018,madhya-pradesh
Merchant payments,397135,339308203.2,2,2018,madhya-pradesh
Financial Services,305553,53860331.81,2,2018,madhya-pradesh
Others,264797,243218603.3,2,2018,madhya-pradesh
Peer-to-peer payments,9988509,22057686209,3,2018,madhya-pradesh
Recharge & bill payments,5733261,1367773857,3,2018,madhya-pradesh
Merchant payments,784995,465390819.6,3,2018,madhya-pradesh
Financial Services,359440,46120458.64,3,2018,madhya-pradesh
Others,260780,212770861.2,3,2018,madhya-pradesh
Peer-to-peer payments,11456555,30897348665,4,2018,madhya-pradesh
Recharge & bill payments,7273502,1669345517,4,2018,madhya-pradesh
Merchant payments,2056426,1036249754,4,2018,madhya-pradesh
Financial Services,313540,43367243.15,4,2018,madhya-pradesh
Others,297532,259296894,4,2018,madhya-pradesh
Peer-to-peer payments,23708825,44114206183,1,2019,madhya-pradesh
Recharge & bill payments,9966905,2423593842,1,2019,madhya-pradesh
Merchant payments,3018928,1263699222,1,2019,madhya-pradesh
Financial Services,290838,28901169.29,1,2019,madhya-pradesh
Others,315553,239879105.6,1,2019,madhya-pradesh
Peer-to-peer payments,20868744,61758841794,2,2019,madhya-pradesh
Recharge & bill payments,12044969,3571897178,2,2019,madhya-pradesh
Merchant payments,7331352,2671155681,2,2019,madhya-pradesh
Financial Services,149197,18869661.51,2,2019,madhya-pradesh
Others,451751,313802065.4,2,2019,madhya-pradesh
Peer-to-peer payments,22631038,67648107703,3,2019,madhya-pradesh
Merchant payments,17163551,5147459307,3,2019,madhya-pradesh
Recharge & bill payments,13156616,4576521609,3,2019,madhya-pradesh
Financial Services,192821,25654168.6,3,2019,madhya-pradesh
Others,466385,278578703,3,2019,madhya-pradesh
Peer-to-peer payments,32083162,92064471162,4,2019,madhya-pradesh
Merchant payments,19447707,7304157802,4,2019,madhya-pradesh
Recharge & bill payments,16081734,5104821721,4,2019,madhya-pradesh
Financial Services,127116,24020060.93,4,2019,madhya-pradesh
Others,392270,190456045.3,4,2019,madhya-pradesh
Peer-to-peer payments,34540722,1.10326E+11,1,2020,madhya-pradesh
Merchant payments,24618074,9898242848,1,2020,madhya-pradesh
Recharge & bill payments,19788516,6311610610,1,2020,madhya-pradesh
Financial Services,68055,30645714.4,1,2020,madhya-pradesh
Others,351379,170790656.3,1,2020,madhya-pradesh
Peer-to-peer payments,34860958,1.28185E+11,2,2020,madhya-pradesh
Recharge & bill payments,27497528,8904067957,2,2020,madhya-pradesh
Merchant payments,13685723,10666223054,2,2020,madhya-pradesh
Financial Services,80988,62073621.44,2,2020,madhya-pradesh
Others,215376,104956802.2,2,2020,madhya-pradesh
Peer-to-peer payments,50871564,1.74979E+11,3,2020,madhya-pradesh
Merchant payments,31879804,20621273982,3,2020,madhya-pradesh
Recharge & bill payments,25380467,9834190567,3,2020,madhya-pradesh
Financial Services,131725,122971108.1,3,2020,madhya-pradesh
Others,316321,144259293.3,3,2020,madhya-pradesh
Peer-to-peer payments,67972167,2.35584E+11,4,2020,madhya-pradesh
Merchant payments,57707471,37315576877,4,2020,madhya-pradesh
Recharge & bill payments,27335834,10977774483,4,2020,madhya-pradesh
Financial Services,149532,132590450.1,4,2020,madhya-pradesh
Others,487537,264996097.6,4,2020,madhya-pradesh
Merchant payments,84812245,50098244500,1,2021,madhya-pradesh
Peer-to-peer payments,84070625,2.79938E+11,1,2021,madhya-pradesh
Recharge & bill payments,32500681,13060914041,1,2021,madhya-pradesh
Financial Services,169378,161838389.8,1,2021,madhya-pradesh
Others,445569,274786748.1,1,2021,madhya-pradesh
Peer-to-peer payments,99367521,3.48936E+11,2,2021,madhya-pradesh
Merchant payments,77113464,58839392450,2,2021,madhya-pradesh
Recharge & bill payments,46118636,17230546399,2,2021,madhya-pradesh
Financial Services,188726,177313389.7,2,2021,madhya-pradesh
Others,526333,317753606,2,2021,madhya-pradesh
Merchant payments,138433772,85885669792,3,2021,madhya-pradesh
Peer-to-peer payments,127654821,3.98913E+11,3,2021,madhya-pradesh
Recharge & bill payments,44437315,19025346051,3,2021,madhya-pradesh
Financial Services,174454,180366422.6,3,2021,madhya-pradesh
Others,742972,408508699.4,3,2021,madhya-pradesh
Merchant payments,197193842,1.26461E+11,4,2021,madhya-pradesh
Peer-to-peer payments,159649020,5.07119E+11,4,2021,madhya-pradesh
Recharge & bill payments,46220966,22492766779,4,2021,madhya-pradesh
Financial Services,247925,246488171.4,4,2021,madhya-pradesh
Others,996331,568617375.6,4,2021,madhya-pradesh
Merchant payments,237691924,1.4331E+11,1,2022,madhya-pradesh
Peer-to-peer payments,185008444,5.78202E+11,1,2022,madhya-pradesh
Recharge & bill payments,48870314,25437774564,1,2022,madhya-pradesh
Financial Services,222923,219927120.2,1,2022,madhya-pradesh
Others,909453,495513514.8,1,2022,madhya-pradesh
Merchant payments,287616385,1.74183E+11,2,2022,madhya-pradesh
Peer-to-peer payments,202093283,6.63181E+11,2,2022,madhya-pradesh
Recharge & bill payments,54318983,29125694282,2,2022,madhya-pradesh
Financial Services,157672,153944499.7,2,2022,madhya-pradesh
Others,713506,381178326.3,2,2022,madhya-pradesh
Merchant payments,391105651,2.12446E+11,3,2022,madhya-pradesh
Peer-to-peer payments,267013695,7.8065E+11,3,2022,madhya-pradesh
Recharge & bill payments,72148870,39132574048,3,2022,madhya-pradesh
Financial Services,240678,236981163.6,3,2022,madhya-pradesh
Others,750665,442608716.7,3,2022,madhya-pradesh
Merchant payments,492999084,2.72802E+11,4,2022,madhya-pradesh
Peer-to-peer payments,325467851,9.84255E+11,4,2022,madhya-pradesh
Recharge & bill payments,79289399,45143248069,4,2022,madhya-pradesh
Financial Services,286931,278304972.6,4,2022,madhya-pradesh
Others,785003,521508120.7,4,2022,madhya-pradesh
Recharge & bill payments,9670237,2283567431,1,2018,maharashtra
Peer-to-peer payments,5227770,18283896465,1,2018,maharashtra
Merchant payments,616779,576964070.7,1,2018,maharashtra
Financial Services,235051,60997258.06,1,2018,maharashtra
Others,637197,506188033,1,2018,maharashtra
Recharge & bill payments,12384216,3725800359,2,2018,maharashtra
Peer-to-peer payments,7772336,30782831246,2,2018,maharashtra
Merchant payments,1306326,1226121649,2,2018,maharashtra
Financial Services,262875,85545909.44,2,2018,maharashtra
Others,559987,536758077.8,2,2018,maharashtra
Recharge & bill payments,14371791,4547486090,3,2018,maharashtra
Peer-to-peer payments,13470065,45466534004,3,2018,maharashtra
Merchant payments,2797204,1702220875,3,2018,maharashtra
Financial Services,234598,52348968.01,3,2018,maharashtra
Others,664880,492227795.6,3,2018,maharashtra
Peer-to-peer payments,20824667,68974011019,4,2018,maharashtra
Recharge & bill payments,18071025,5860865070,4,2018,maharashtra
Merchant payments,6047705,3985195742,4,2018,maharashtra
Financial Services,325121,77345546.53,4,2018,maharashtra
Others,821705,621519669.5,4,2018,maharashtra
Peer-to-peer payments,37360716,97373087988,1,2019,maharashtra
Recharge & bill payments,24540041,8256500587,1,2019,maharashtra
Merchant payments,12069119,5172594696,1,2019,maharashtra
Financial Services,287569,49487746.21,1,2019,maharashtra
Others,821624,569019903.9,1,2019,maharashtra
Peer-to-peer payments,42546317,1.30558E+11,2,2019,maharashtra
Recharge & bill payments,29395661,12197234771,2,2019,maharashtra
Merchant payments,27854042,9728561727,2,2019,maharashtra
Financial Services,182840,45291636.11,2,2019,maharashtra
Others,1170993,765228265.8,2,2019,maharashtra
Peer-to-peer payments,57991699,1.65732E+11,3,2019,maharashtra
Merchant payments,54683738,17545729507,3,2019,maharashtra
Recharge & bill payments,34309301,15471698544,3,2019,maharashtra
Financial Services,231467,54108447.39,3,2019,maharashtra
Others,1519376,814284077.9,3,2019,maharashtra
Merchant payments,80127804,27209874138,4,2019,maharashtra
Peer-to-peer payments,78795871,2.27268E+11,4,2019,maharashtra
Recharge & bill payments,40705998,17794666215,4,2019,maharashtra
Financial Services,129755,49622863.82,4,2019,maharashtra
Others,1501192,672210825,4,2019,maharashtra
Merchant payments,100337738,35200130305,1,2020,maharashtra
Peer-to-peer payments,87067410,2.62541E+11,1,2020,maharashtra
Recharge & bill payments,50199498,21603565070,1,2020,maharashtra
Financial Services,123476,91363684.13,1,2020,maharashtra
Others,1215959,558931962.9,1,2020,maharashtra
Peer-to-peer payments,74295930,2.39933E+11,2,2020,maharashtra
Recharge & bill payments,60856480,23112343247,2,2020,maharashtra
Merchant payments,48965388,32859184582,2,2020,maharashtra
Financial Services,206461,211733275.8,2,2020,maharashtra
Others,466502,242917371.3,2,2020,maharashtra
Peer-to-peer payments,108436214,3.51556E+11,3,2020,maharashtra
Merchant payments,100808237,60171102124,3,2020,maharashtra
Recharge & bill payments,58082283,27915727883,3,2020,maharashtra
Financial Services,325453,333669599.6,3,2020,maharashtra
Others,658737,331024593.1,3,2020,maharashtra
Merchant payments,189845640,1.03805E+11,4,2020,maharashtra
Peer-to-peer payments,151741840,4.85748E+11,4,2020,maharashtra
Recharge & bill payments,64556682,31556917822,4,2020,maharashtra
Financial Services,398409,418399992.5,4,2020,maharashtra
Others,1078433,627692680.4,4,2020,maharashtra
Merchant payments,253043309,1.29493E+11,1,2021,maharashtra
Peer-to-peer payments,187021609,5.99213E+11,1,2021,maharashtra
Recharge & bill payments,76389103,40057211827,1,2021,maharashtra
Financial Services,439551,492900202.7,1,2021,maharashtra
Others,966668,630909553.5,1,2021,maharashtra
Merchant payments,247194293,1.50864E+11,2,2021,maharashtra
Peer-to-peer payments,228551961,7.1986E+11,2,2021,maharashtra
Recharge & bill payments,96271138,43154405548,2,2021,maharashtra
Financial Services,504252,536780917,2,2021,maharashtra
Others,1094842,699738247.7,2,2021,maharashtra
Merchant payments,390051884,2.16702E+11,3,2021,maharashtra
Peer-to-peer payments,296951706,8.90861E+11,3,2021,maharashtra
Recharge & bill payments,103943973,50242023586,3,2021,maharashtra
Financial Services,448646,579098938.7,3,2021,maharashtra
Others,1477851,873324624.2,3,2021,maharashtra
Merchant payments,540351277,3.05512E+11,4,2021,maharashtra
Peer-to-peer payments,361865450,1.10986E+12,4,2021,maharashtra
Recharge & bill payments,105990417,58087950922,4,2021,maharashtra
Financial Services,606265,707102765.3,4,2021,maharashtra
Others,1918093,1188658731,4,2021,maharashtra
Merchant payments,646277671,3.4024E+11,1,2022,maharashtra
Peer-to-peer payments,411989717,1.27489E+12,1,2022,maharashtra
Recharge & bill payments,108896881,64507860104,1,2022,maharashtra
Financial Services,583243,677612619.3,1,2022,maharashtra
Others,1758926,1084139454,1,2022,maharashtra
Merchant payments,810961772,4.28469E+11,2,2022,maharashtra
Peer-to-peer payments,470258043,1.5012E+12,2,2022,maharashtra
Recharge & bill payments,124280427,75110969246,2,2022,maharashtra
Financial Services,490152,559321829.5,2,2022,maharashtra
Others,1542719,930827919.3,2,2022,maharashtra
Merchant payments,876618082,4.32251E+11,3,2022,maharashtra
Peer-to-peer payments,483481713,1.43457E+12,3,2022,maharashtra
Recharge & bill payments,124545840,79360150487,3,2022,maharashtra
Financial Services,521362,571583115.7,3,2022,maharashtra
Others,1222420,831183386.5,3,2022,maharashtra
Merchant payments,1025666187,5.02661E+11,4,2022,maharashtra
Peer-to-peer payments,535142126,1.62262E+12,4,2022,maharashtra
Recharge & bill payments,126118544,83576414221,4,2022,maharashtra
Financial Services,620124,699276779.2,4,2022,maharashtra
Others,1228291,914951674.5,4,2022,maharashtra
Recharge & bill payments,50212,6463184.555,1,2018,manipur
Peer-to-peer payments,26382,115495173.6,1,2018,manipur
Financial Services,2660,412579.5399,1,2018,manipur
Merchant payments,1614,3616475.641,1,2018,manipur
Others,3201,2058760.637,1,2018,manipur
Recharge & bill payments,77991,11541247.78,2,2018,manipur
Peer-to-peer payments,60365,232157389.8,2,2018,manipur
Financial Services,5992,1241901.266,2,2018,manipur
Merchant payments,4041,5366759.828,2,2018,manipur
Others,3332,2902422.65,2,2018,manipur
Peer-to-peer payments,95204,357768750.2,3,2018,manipur
Recharge & bill payments,81323,13912990.48,3,2018,manipur
Merchant payments,7396,9180953.977,3,2018,manipur
Financial Services,2577,333081.6368,3,2018,manipur
Others,2758,2135468.51,3,2018,manipur
Recharge & bill payments,113507,18898063.28,4,2018,manipur
Peer-to-peer payments,104872,562009596,4,2018,manipur
Merchant payments,13333,20685433.28,4,2018,manipur
Financial Services,1452,307325.2438,4,2018,manipur
Others,2946,3783141.535,4,2018,manipur
Peer-to-peer payments,127067,619919870.7,1,2019,manipur
Recharge & bill payments,120000,22106830.37,1,2019,manipur
Merchant payments,15190,14580183.38,1,2019,manipur
Financial Services,800,174777.1728,1,2019,manipur
Others,2352,3116398.756,1,2019,manipur
Peer-to-peer payments,120153,679785849.1,2,2019,manipur
Recharge & bill payments,116500,23573234.27,2,2019,manipur
Merchant payments,18044,15996651.15,2,2019,manipur
Financial Services,387,91955.01538,2,2019,manipur
Others,2341,3342252.575,2,2019,manipur
Recharge & bill payments,180057,36634657.05,3,2019,manipur
Peer-to-peer payments,144965,803335616.6,3,2019,manipur
Merchant payments,17683,20490224.44,3,2019,manipur
Financial Services,358,367865.7885,3,2019,manipur
Others,1945,2723638.65,3,2019,manipur
Recharge & bill payments,212136,44202546.57,4,2019,manipur
Peer-to-peer payments,211927,1123258478,4,2019,manipur
Merchant payments,23094,30486780.45,4,2019,manipur
Financial Services,548,240641.7658,4,2019,manipur
Others,1639,2709234.857,4,2019,manipur
Peer-to-peer payments,451733,2458093402,1,2020,manipur
Recharge & bill payments,285234,62688260.38,1,2020,manipur
Merchant payments,78067,74202067.07,1,2020,manipur
Financial Services,622,354184.4661,1,2020,manipur
Others,3145,3252467.224,1,2020,manipur
Peer-to-peer payments,533206,2980242535,2,2020,manipur
Recharge & bill payments,450830,107589094.3,2,2020,manipur
Merchant payments,92110,106540409.3,2,2020,manipur
Financial Services,1676,1457570.8,2,2020,manipur
Others,5246,3106603.332,2,2020,manipur
Peer-to-peer payments,774786,4301284799,3,2020,manipur
Recharge & bill payments,464659,113190539.1,3,2020,manipur
Merchant payments,170653,195132026.6,3,2020,manipur
Financial Services,1878,1593035.944,3,2020,manipur
Others,8192,4775719.814,3,2020,manipur
Peer-to-peer payments,892853,5172499338,4,2020,manipur
Recharge & bill payments,436450,114202616.3,4,2020,manipur
Merchant payments,289050,307902115.4,4,2020,manipur
Financial Services,1806,2448402.914,4,2020,manipur
Others,7693,5172086.283,4,2020,manipur
Peer-to-peer payments,1117829,6402367884,1,2021,manipur
Recharge & bill payments,796590,223955812.6,1,2021,manipur
Merchant payments,377280,433297594.1,1,2021,manipur
Financial Services,3398,4385333.175,1,2021,manipur
Others,8438,6280890.915,1,2021,manipur
Peer-to-peer payments,1372821,7041837918,2,2021,manipur
Recharge & bill payments,1187952,305103750.6,2,2021,manipur
Merchant payments,510734,531484849.5,2,2021,manipur
Financial Services,4165,4256098.232,2,2021,manipur
Others,10603,7145346.315,2,2021,manipur
Peer-to-peer payments,1819423,9134806595,3,2021,manipur
Recharge & bill payments,1368584,367664440.5,3,2021,manipur
Merchant payments,735707,889317377.1,3,2021,manipur
Financial Services,3460,5625517.975,3,2021,manipur
Others,14222,9447098.782,3,2021,manipur
Peer-to-peer payments,2199970,10998828288,4,2021,manipur
Recharge & bill payments,1451488,412791673.8,4,2021,manipur
Merchant payments,1013985,1229517397,4,2021,manipur
Financial Services,4671,5941100.581,4,2021,manipur
Others,17325,11393578.84,4,2021,manipur
Peer-to-peer payments,2517626,12169368063,1,2022,manipur
Recharge & bill payments,1528476,469035958.3,1,2022,manipur
Merchant payments,1247205,1489604137,1,2022,manipur
Financial Services,4878,6057615.527,1,2022,manipur
Others,15494,10435303.88,1,2022,manipur
Peer-to-peer payments,2843426,12704512239,2,2022,manipur
Merchant payments,1709547,1757831052,2,2022,manipur
Recharge & bill payments,1533778,448637966.7,2,2022,manipur
Financial Services,4069,4753628.558,2,2022,manipur
Others,14812,7175748.992,2,2022,manipur
Peer-to-peer payments,3127266,12927705072,3,2022,manipur
Merchant payments,1829741,2010460357,3,2022,manipur
Recharge & bill payments,1379911,432182393.8,3,2022,manipur
Financial Services,4524,4671353.405,3,2022,manipur
Others,11300,6411090.828,3,2022,manipur
Peer-to-peer payments,3259645,13133729481,4,2022,manipur
Merchant payments,1828984,2074698993,4,2022,manipur
Recharge & bill payments,1325391,406031254.1,4,2022,manipur
Financial Services,4691,5754919.964,4,2022,manipur
Others,9959,5742049.404,4,2022,manipur
Recharge & bill payments,31857,6028476.149,1,2018,meghalaya
Peer-to-peer payments,13274,55943496.52,1,2018,meghalaya
Merchant payments,1605,2395888.44,1,2018,meghalaya
Financial Services,532,144318.2546,1,2018,meghalaya
Others,2303,1738080.431,1,2018,meghalaya
Recharge & bill payments,42625,9657896.165,2,2018,meghalaya
Peer-to-peer payments,19894,101140464.7,2,2018,meghalaya
Merchant payments,2929,3663446.436,2,2018,meghalaya
Financial Services,592,580648.3434,2,2018,meghalaya
Others,1817,1962212.235,2,2018,meghalaya
Recharge & bill payments,60625,14231601.45,3,2018,meghalaya
Peer-to-peer payments,40832,187460582.1,3,2018,meghalaya
Merchant payments,5802,5458930.689,3,2018,meghalaya
Financial Services,748,552674.5783,3,2018,meghalaya
Others,2283,2149872.756,3,2018,meghalaya
Recharge & bill payments,82962,18100891.64,4,2018,meghalaya
Peer-to-peer payments,58952,301941442.7,4,2018,meghalaya
Merchant payments,15768,14434314.19,4,2018,meghalaya
Financial Services,763,190875.1885,4,2018,meghalaya
Others,2687,2918155.28,4,2018,meghalaya
Recharge & bill payments,98817,23006751.8,1,2019,meghalaya
Peer-to-peer payments,90694,358932132.1,1,2019,meghalaya
Merchant payments,16073,14297275.23,1,2019,meghalaya
Financial Services,659,62335.06475,1,2019,meghalaya
Others,2498,2738667.958,1,2019,meghalaya
Recharge & bill payments,108812,27248605.43,2,2019,meghalaya
Peer-to-peer payments,97407,446537199.2,2,2019,meghalaya
Merchant payments,22588,15600927.01,2,2019,meghalaya
Financial Services,460,106800.7531,2,2019,meghalaya
Others,3019,3437756.745,2,2019,meghalaya
Recharge & bill payments,155949,38916251.42,3,2019,meghalaya
Peer-to-peer payments,116168,546221812.7,3,2019,meghalaya
Merchant payments,31201,23461321.89,3,2019,meghalaya
Financial Services,421,584192.9488,3,2019,meghalaya
Others,2811,3035023.204,3,2019,meghalaya
Recharge & bill payments,175084,43611775.03,4,2019,meghalaya
Peer-to-peer payments,163734,670870023.4,4,2019,meghalaya
Merchant payments,24430,25344714.51,4,2019,meghalaya
Financial Services,382,124511.6361,4,2019,meghalaya
Others,2351,2485447.193,4,2019,meghalaya
Recharge & bill payments,226214,59666071.22,1,2020,meghalaya
Peer-to-peer payments,216022,1013733312,1,2020,meghalaya
