Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Recharge & bill payments,49626902,24646800345,2,2021,andhra-pradesh
Financial Services,243237,265483044.4,2,2021,andhra-pradesh
Others,406842,308302224.4,2,2021,andhra-pradesh
Peer-to-peer payments,221280317,8.37841E+11,3,2021,andhra-pradesh
Merchant payments,158290953,1.18164E+11,3,2021,andhra-pradesh
Recharge & bill payments,51702350,27511344958,3,2021,andhra-pradesh
Financial Services,211171,297239697.8,3,2021,andhra-pradesh
Others,547759,403948275.6,3,2021,andhra-pradesh
Peer-to-peer payments,262006450,9.7127E+11,4,2021,andhra-pradesh
Merchant payments,207538904,1.52884E+11,4,2021,andhra-pradesh
Recharge & bill payments,51762842,31232784714,4,2021,andhra-pradesh
Financial Services,243951,332740108.7,4,2021,andhra-pradesh
Others,701856,545223415.7,4,2021,andhra-pradesh
Peer-to-peer payments,288488560,1.08963E+12,1,2022,andhra-pradesh
Merchant payments,242031836,1.6942E+11,1,2022,andhra-pradesh
Recharge & bill payments,51224170,34473036842,1,2022,andhra-pradesh
Financial Services,231651,324358965.1,1,2022,andhra-pradesh
Others,627694,474382234.3,1,2022,andhra-pradesh
Peer-to-peer payments,321362337,1.23141E+12,2,2022,andhra-pradesh
Merchant payments,292530048,2.05434E+11,2,2022,andhra-pradesh
Recharge & bill payments,56606969,42408541939,2,2022,andhra-pradesh
Financial Services,192751,245783011,2,2022,andhra-pradesh
Others,441925,357036084.9,2,2022,andhra-pradesh
Peer-to-peer payments,298804000,1.14016E+12,3,2022,andhra-pradesh
Merchant payments,291033653,2.02911E+11,3,2022,andhra-pradesh
Recharge & bill payments,52467708,41438764826,3,2022,andhra-pradesh
Financial Services,187190,239347241.5,3,2022,andhra-pradesh
Others,362484,323951101.6,3,2022,andhra-pradesh
Merchant payments,321632104,2.11899E+11,4,2022,andhra-pradesh
Peer-to-peer payments,315734006,1.17025E+12,4,2022,andhra-pradesh
Recharge & bill payments,52098850,41986837706,4,2022,andhra-pradesh
Financial Services,206459,250596592.1,4,2022,andhra-pradesh
Others,345658,339211363,4,2022,andhra-pradesh
Recharge & bill payments,28729,5184132.515,1,2018,arunachal-pradesh
Peer-to-peer payments,13320,82889682.72,1,2018,arunachal-pradesh
Merchant payments,1042,2420374.191,1,2018,arunachal-pradesh
Financial Services,416,58893.76202,1,2018,arunachal-pradesh
Others,1990,1834252.818,1,2018,arunachal-pradesh
Recharge & bill payments,50700,10468878.54,2,2018,arunachal-pradesh
Peer-to-peer payments,26477,181576281.2,2,2018,arunachal-pradesh
Merchant payments,2378,4718953.44,2,2018,arunachal-pradesh
Financial Services,559,363761.8016,2,2018,arunachal-pradesh
Others,2043,1842317.369,2,2018,arunachal-pradesh
Recharge & bill payments,74122,15997565.91,3,2018,arunachal-pradesh
Peer-to-peer payments,49740,308106303.5,3,2018,arunachal-pradesh
Merchant payments,4738,5505694.568,3,2018,arunachal-pradesh
Financial Services,507,72133.84525,3,2018,arunachal-pradesh
Others,2039,2044708.969,3,2018,arunachal-pradesh
Recharge & bill payments,97751,20662691.88,4,2018,arunachal-pradesh
Peer-to-peer payments,68169,468831493.2,4,2018,arunachal-pradesh
Merchant payments,7726,11998974.1,4,2018,arunachal-pradesh
Financial Services,561,100597.9038,4,2018,arunachal-pradesh
Others,2222,2446271.969,4,2018,arunachal-pradesh
Recharge & bill payments,121303,26796895,1,2019,arunachal-pradesh
Peer-to-peer payments,93494,568554821.4,1,2019,arunachal-pradesh
Merchant payments,9214,11727218.4,1,2019,arunachal-pradesh
Financial Services,256,140622.8709,1,2019,arunachal-pradesh
Others,2239,2730548.598,1,2019,arunachal-pradesh
Recharge & bill payments,131988,30420803.41,2,2019,arunachal-pradesh
Peer-to-peer payments,106527,704237943.4,2,2019,arunachal-pradesh
Merchant payments,16828,13955724.13,2,2019,arunachal-pradesh
Financial Services,267,160660.8821,2,2019,arunachal-pradesh
Others,3046,3880742.524,2,2019,arunachal-pradesh
Recharge & bill payments,216228,50946104.94,3,2019,arunachal-pradesh
Peer-to-peer payments,133484,841037395.2,3,2019,arunachal-pradesh
Merchant payments,16900,17178248.07,3,2019,arunachal-pradesh
Financial Services,864,64089.1135,3,2019,arunachal-pradesh
Others,2758,3419197.418,3,2019,arunachal-pradesh
Recharge & bill payments,259183,63516906.09,4,2019,arunachal-pradesh
Peer-to-peer payments,177833,1100137448,4,2019,arunachal-pradesh
Merchant payments,19769,23192271.69,4,2019,arunachal-pradesh
Financial Services,314,305379.7988,4,2019,arunachal-pradesh
Others,2376,3421174.012,4,2019,arunachal-pradesh
Recharge & bill payments,329834,86011654.77,1,2020,arunachal-pradesh
Peer-to-peer payments,203429,1263912288,1,2020,arunachal-pradesh
Merchant payments,31181,28553052.13,1,2020,arunachal-pradesh
Financial Services,470,337812.9482,1,2020,arunachal-pradesh
Others,2261,2943873.067,1,2020,arunachal-pradesh
Recharge & bill payments,522495,145198528.2,2,2020,arunachal-pradesh
Peer-to-peer payments,247861,1630654426,2,2020,arunachal-pradesh
Merchant payments,35169,46446966.61,2,2020,arunachal-pradesh
Financial Services,1310,2655507.696,2,2020,arunachal-pradesh
Others,1939,1761404.402,2,2020,arunachal-pradesh
Recharge & bill payments,514907,153463816.2,3,2020,arunachal-pradesh
Peer-to-peer payments,370418,2361603431,3,2020,arunachal-pradesh
Merchant payments,72736,88145178.69,3,2020,arunachal-pradesh
Financial Services,1761,4030599.917,3,2020,arunachal-pradesh
Others,3005,2695539.361,3,2020,arunachal-pradesh
Peer-to-peer payments,522019,3254744938,4,2020,arunachal-pradesh
Recharge & bill payments,513895,152389181.2,4,2020,arunachal-pradesh
Merchant payments,167387,156682926,4,2020,arunachal-pradesh
Financial Services,1749,2391651.878,4,2020,arunachal-pradesh
Others,4079,4055324.315,4,2020,arunachal-pradesh
Peer-to-peer payments,566209,3460488559,1,2021,arunachal-pradesh
